PRISM Time Series Data
Location:  Lat: 44.9479   Lon: -109.6444   Elev: 2686m
Climate variable: tmean
Spatial resolution: 4km
Period: 1895-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2021-Apr-23
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,tmean (degrees C)
2014-05,4.4
2014-06,7.1
2014-07,13.3
2014-08,11.0
2014-09,7.8
2014-10,3.5
2014-11,-6.3
2014-12,-7.2
2015-01,-5.8
2015-02,-5.9
2015-03,-1.9
2015-04,-0.2
2015-05,4.0
2015-06,11.4
2015-07,11.9
2015-08,12.0
2015-09,9.2
2015-10,4.9
2015-11,-5.9
2015-12,-8.9
2016-01,-7.0
2016-02,-5.6
2016-03,-4.1
2016-04,1.4
2016-05,4.3
2016-06,11.4
2016-07,12.4
2016-08,11.8
2016-09,7.7
2016-10,2.5
2016-11,-0.8
2016-12,-12.4
2017-01,-10.3
2017-02,-6.4
2017-03,-1.5
2017-04,-1.1
2017-05,4.4
2017-06,8.9
2017-07,14.3
2017-08,12.1
2017-09,6.9
2017-10,0.1
2017-11,-4.3
2017-12,-7.8
2018-01,-6.6
2018-02,-10.7
2018-03,-5.2
2018-04,-1.1
2018-05,6.4
2018-06,8.6
2018-07,13.6
2018-08,11.8
2018-09,8.2
2018-10,0.7
2018-11,-6.2
2018-12,-9.6
2019-01,-7.8
2019-02,-11.0
2019-03,-5.9
2019-04,-0.8
2019-05,2.0
2019-06,7.3
2019-07,12.3
2019-08,12.3
2019-09,7.6
2019-10,-4.4
2019-11,-5.8
2019-12,-8.4
